Id,Label
tt0099733,Happily Ever After
tt0099878,Jetsons: The Movie
tt0100477,The Rescuers Down Under
tt0101329,An American Tail: Fievel Goes West
tt0101414,Beauty and the Beast
tt0102802,Rock-A-Doodle
tt0102813,Rover Dangerfield
tt0103639,Aladdin
tt0103783,Bébé's Kids
tt0104009,Cool World
tt0104254,FernGully: The Last Rainforest
tt0104401,Heathcliff: The Movie
tt0104740,Little Nemo: Adventures in Slumberland
tt0105427,Sleeping Beauty
tt0105616,Tom and Jerry: The Movie
tt0105654,The Tune
tt0106364,Batman: Mask of the Phantasm
tt0107688,The Nightmare Before Christmas
tt0107745,Once Upon a Forest
tt0107875,The Princess and the Goblin
tt0108395,A Troll in Central Park
tt0108526,We're Back! A Dinosaur's Story
tt0110357,The Lion King
tt0110763,The Pagemaster
tt0111333,The Swan Princess
tt0111419,Thumbelina
tt0112389,The Thief and the Cobbler
tt0112453,Balto
tt0112545,The Seventh Brother
tt0113198,A Goofy Movie
tt0113234,Gumby 1
tt0114108,The Pebble and the Penguin
tt0114148,Pocahontas
tt0114556,Storybook
tt0114709,Toy Story
tt0115509,All Dogs Go to Heaven II
tt0115641,Beavis and Butt-Head Do America
tt0116583,The Hunchback of Notre Dame
tt0116683,James and the Giant Peach
tt0117705,Space Jam
tt0118617,Anastasia
tt0118829,Cats Don't Dance
tt0119282,Hercules
tt0119346,I Married a Strange Person!
tt0119493,The Land Before Time Sing*along*songs
tt0120363,Toy Story 2
tt0120587,Antz
tt0120623,A Bug's Life
tt0120630,Chicken Run
tt0120762,Mulan
tt0120794,The Prince of Egypt
tt0120800,The Magic Sword: Quest for Camelot
tt0120855,Tarzan
tt0120910,Fantasia 2000
tt0120913,Titan A.E.
tt0120917,The Emperor's New Groove
tt0121164,Corpse Bride
tt0122511,The Gnomes Great Adventure
tt0124031,Number 15
tt0124247,The Magic Pearl
tt0126029,Shrek
tt0126074,Spontaneous Human Combustion
tt0126189,Alice of Wonderland in Paris
tt0127030,Mondo Plympton
tt0127539,Erased Off
tt0127745,The Puppetoon Movie
tt0129167,The Iron Giant
tt0129297,Perpetual Motion
tt0129551,Vis-a-Vis
tt0130623,Dinosaur
tt0131704,The Adventures of Rocky & Bullwinkle
tt0132528,Spike and Mike's Hilarious Sick and Twisted Festival of Animation
tt0133240,Treasure Planet
tt0134067,The Rugrats Movie
tt0134751,Jokes My Folks Never Told Me
tt0137201,Rudolph the Red-Nosed Reindeer
tt0138613,Hot Dogs: Wau - wir sind reich!
tt0138749,The Road to El Dorado
tt0138877,Tiny Heroes
tt0142080,American Flatulators
tt0142307,General Chaos: Uncensored Animation
tt0144608,Sinbad: Beyond the Veil of Mists
tt0145672,Beany and Cecil Meet Billy the Squid
tt0145888,Little Roquefort
tt0146063,The Princess and the Pea
tt0146361,Zipatatta
tt0146457,Bad Baby
tt0146628,Dixie Days
tt0149869,Big Game Fishing
tt0150366,Dollhouse
tt0154587,"Hey There, It's Yogi Bear"
tt0158300,Uncensored Cartoons
tt0158658,Hola amigos
tt0158983,"South Park: Bigger, Longer & Uncut"
tt0160429,The King and I
tt0160775,Robots of Mars
tt0165982,Sinbad: Legend of the Seven Seas
tt0166276,Monkeybone
tt0166813,Spirit: Stallion of the Cimarron
tt0166948,The Adventures of the American Rabbit
tt0168473,Babes in Toyland
tt0168856,A Fish Tale
tt0173840,Final Fantasy: The Spirits Within
tt0179657,The World of Topo Gigio
tt0180390,4th of July Firecrackers
tt0180585,Bugs Bunny Cartoon Revue
tt0181739,Osmosis Jones
tt0184881,"Adieu, Galaxy Express 999: Last Stop Andromeda"
tt0186449,Pinocchio in Outer Space
tt0187819,Doug's 1st Movie
tt0191280,Mighty Mouse in the Great Space Chase
tt0192803,Willy McBean and His Magic Machine
tt0193995,Hansel and Gretel
tt0196547,Family
tt0197633,Live Freaky Die Freaky
tt0198602,Knights of Virtue
tt0198781,"Monsters, Inc."
tt0202452,"Leif Erickson, Discoverer of North America"
tt0202536,Puss in Boots
tt0206367,The Trumpet of the Swan
tt0206743,Fetal Fury
tt0208252,The Land Before Time More Singalong Songs
tt0208453,The Snowy Day
tt0209058,Jataka
tt0209394,Switchback
tt0209448,Unborn Baby Blues
tt0210654,Donald Duck's Summer Magic
tt0212112,Donald Duck Goes West
tt0212114,Donald Duck's Cartoon Mania
tt0212115,Donald Duck's Frantic Antic
tt0212116,Donald Duck's Fun Festival
tt0212261,João Mata Sete
tt0212599,Walt Disney's Cartoon Carousel
tt0213203,Rugrats in Paris: The Movie
tt0213268,Superstar Goofy
tt0216651,Vampire Hunter D: Bloodlust
tt0217255,Animated Classic Showcase
tt0219777,Heyzeus
tt0220099,The Tigger Movie
tt0220450,Everybody Rides the Carousel
tt0220996,Baby Huey
tt0221440,Not-So-Rotten Ralph
tt0223992,Rashi: A Light After the Dark Ages
tt0224114,Short Films by Short People: The Adventures of Sam Digital
tt0225346,Cartoon Noir
tt0226851,Slipdream
tt0229834,Wally the Green Monster
tt0230011,Atlantis: The Lost Empire
tt0236421,Let Charlie Do It
tt0236451,Lotsa Luck
tt0238319,It's a Digital World
tt0238357,Kong
tt0239634,Mickey Mouse Jubilee Show
tt0240318,Academy Awards Shorts Program
tt0240996,A Trip to Mars
tt0241436,Fantastic Animation Festival
tt0243017,Waking Life
tt0243585,Stuart Little 2
tt0249516,Foodfight!
tt0249817,Mr. Wong
tt0250403,Globehunters
tt0250950,All Star Cartoon Revue
